Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Ards Forest Park  Binngorm Trail,-7.9282483,55.1500633,Donegal,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Salais na Mara,-7.5394444,52.0527778,Waterford,Dungarvan,Republic of Ireland,"Food and Drink,Cafe"
Bella  Brava Restaurant,-8.6056089,54.1710166,Sligo,Coolaney,Ireland,"Food and Drink,Restaurant,Local Produce"
The Adventure Islands,-9.6308032,53.8278441,Mayo,Westport,Ireland,"Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat"
An File,-9.5245048,53.7995346,Mayo,Westport,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Trad on the Prom,-9.0823235,53.2590363,Galway,,Ireland,"Traditionally Irish,Venue,Music"
Bansha Wood,-8.064347932,52.44829852,Tipperary,Bansha,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenshelane Forest Trails,-7.826434443,52.14881013,Waterford,Cappoquin,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilclooney Wood,-7.426484261,52.20344722,Waterford,Kilmacthomas,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glengarra Wood,-8.093569817,52.32485307,Tipperary,Burncourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
The East Munster Way,-7.404704925,52.34710547,Tipperary,,Ireland,Walking
The Beara Way,-9.94549254,51.7017251,Cork,Beara Peninsula,Republic of Ireland,Walking
The Blackwater Way,-8.474305,51.896447,Cork,,Republic of Ireland,Walking
The Dingle Way,-10.1242982,52.2040594,Kerry,Dingle Peninsula,Ireland,Walking
Beara Way Cycling Route,-9.949992048,51.69566432,Cork,Beara Peninsula,Republic of Ireland,Cycling
The Ring of Kerry Cycle Route,-9.750439317,52.16708337,Kerry,,Republic of Ireland,Cycling
Sheepas Head Cycle Route,-9.703301548,51.58141104,Cork,Bantry,Republic of Ireland,Cycling
The Burren Way,-9.007924733,53.02292414,Clare,Burren National Park,Ireland,Walking
Knocknarea Mountain,-8.5740405,54.2586043,Sligo,Strandhill,Ireland,Walking
Slish Wood,-8.477057021,54.26875656,Sligo,Sligo Town,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Spink Loop,-6.327626503,53.00936531,Wicklow,Wicklow Town,Republic of Ireland,Walking
Fenit Cycleway,-9.859530615,52.27970839,Kerry,Fenit,Republic of Ireland,Cycling
The Kerry Head Cycleway,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,Cycling
Croagh Patrick Heritage Trail,-9.133125361,53.80893697,Mayo,Clogher,Republic of Ireland,Walking
South Leinster Way Kildavin To Borris,-6.68434856,52.6849612,Carlow,Kildavin,Republic of Ireland,Walking
Clogher Bog Loop,-9.468347285,53.83838054,Mayo,Clogher,Republic of Ireland,"Walking,Public Park,Nature and Wildlife"
Glencolmcille Loop,-8.7147757,54.69970306,Donegal,Glencolmcille,Republic of Ireland,"Walking,Activity Operator"
Lettermaghera Loop,-9.58770528,53.90499033,Mayo,Newport,Republic of Ireland,Walking
Cosain na Naomh The Saints Road,-10.16700983,52.18374237,Kerry,Dingle Peninsula,Republic of Ireland,Walking
Derrynane Coastal Circuit,-10.15037787,51.76714965,Kerry,Derrynane,Republic of Ireland,Walking
Great Blasket Island Looped Walk,-10.51437594,52.10708388,Kerry,,Republic of Ireland,Walking
Listowel Sive  Walk,-9.483925274,52.44712012,Kerry,Listowel,Republic of Ireland,Walking
Cahersiveen  Beentee Loop,-10.22345548,51.9476611,Kerry,Cahersiveen,Republic of Ireland,Walking
Creha Quay Loop,-9.950596413,51.6979553,Cork,Eyeries,Republic of Ireland,Walking
Dursey Island Loop,-10.1906188,51.60055005,Cork,Dursey Island,Republic of Ireland,Walking
Killavullen Loop,-8.517873375,52.14833155,Cork,Killavullen,Republic of Ireland,Walking
OBriensbridge  Errinagh Bridge Loop,-8.504424976,52.75209652,Clare,,Republic of Ireland,Walking
OBriensbridge  Old Barge Loop,-8.504424976,52.75209652,Clare,,Republic of Ireland,Walking
Eamonn an Chnoic Loop,-8.018245963,52.70366927,Tipperary,Upperchurch,Republic of Ireland,Walking
Dromore Wood Loop,-8.988285382,52.84673691,Clare,Ennis,Republic of Ireland,Walking
Lough Boora Mesolithic Loop Walk,-7.726802,53.220112,Offaly,Tullamore,Ireland,"Walking,Activity Operator"
Kinnitty Castle Loop,-7.697808,53.102557,Offaly,Kinnitty,Republic of Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Cadamstown Pauls Lane Loop,-7.659152974,53.12554611,Offaly,Cadamstown,Republic of Ireland,Walking
Inishowen Head Loop,-7.310172991,55.19151992,Donegal,Buncrana,Republic of Ireland,"Walking,Activity Operator"
Inis Eoghain Cycleway,-7.042682573,55.18798354,Donegal,Moville,Republic of Ireland,Cycling
Buncrana Coastal Walk,-7.453633702,55.13279204,Donegal,Buncrana,Republic of Ireland,"Walking,Activity Operator"
The Rougey Walk,-8.277934,54.4791416,Donegal,Bundoran,Ireland,Walking
The West End Cliff Walk,-8.274540554,54.47962453,Donegal,Bundoran,Republic of Ireland,Walking
Bloody Foreland Walk,-8.1659,55.0926,Donegal,The Rosses,Republic of Ireland,Walking
Lough Derg Walk,-7.826680938,54.54826204,Donegal,Pettigo,Republic of Ireland,Walking
Bianconi Loop,-8.168626524,52.43049396,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Ballinacourty Loop,-8.167817278,52.4303068,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Rock an Thorabh Loop,-8.168432107,52.43073989,Tipperary,,Ireland,Walking
Knockbarron Loop,-7.722197023,53.09582852,Offaly,,Ireland,Walking
Carrolls Loop,-8.225695869,52.41294199,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Paidraigs Loop,-8.225660902,52.41333521,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Dolmen Loop,-8.225185157,52.41318466,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Lakes Loop,-6.968175327,54.24953266,Monaghan,,Ireland,Walking
Carran Looped Walk,-9.106313769,53.05205431,Clare,Carran,Ireland,Walking
Inishbofin Westquarter Loop Walk,-10.20929973,53.62098986,Galway,Inishbofin,Republic of Ireland,Walking
Keenagh Loop,-9.423306087,54.00152676,Mayo,Crossmolina,Republic of Ireland,Walking
Derroura Mountain Bike Trail,-9.450517,53.440857,Galway,,Ireland,Cycling
North West Trail Cycling Trail,-8.480807126,54.2713073,Sligo,,Ireland,Cycling
Glenpatrick Bridge Loop,-7.498306185,52.30707131,Waterford,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Grange Loop,-7.5431415,52.6597747,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Knockanroe Wood Loop,-8.229176203,52.79486662,Tipperary,Silvermines,Ireland,Walking
Enniscoe House Loop,-9.309504,54.07019,Mayo,Crossmolina,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Tory Island Loop,-8.207119376,55.26201524,Donegal,,Ireland,Walking
Birchill Loop,-8.018245963,52.70366927,Tipperary,Upperchurch,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Loch Dhoire Bhile Loop,-7.67656348,52.6259784,Tipperary,New Birmingham,Ireland,Walking
Oakpark Loop,-6.926196257,52.8350245,Carlow,,Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk"
Castle Lake Loop,-6.980897352,53.93959224,Cavan,Bailieborough,Ireland,Walking
Knockalough Loop,-8.018245963,52.70366927,Tipperary,Upperchurch,Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenbawn Loop,-7.79193451,52.34231784,Tipperary,,Ireland,Walking
Fox Covert Loop,-7.79193451,52.34231784,Tipperary,,Ireland,Walking
Dun Ui Faolain Loop,-7.791505357,52.34242271,Tipperary,Clonmel,Ireland,Walking
Mount Gable Walk,-9.363088486,53.54394162,Galway,,Republic of Ireland,Walking
Doolin Cycle Hub,-9.376358103,53.01681872,Clare,,Ireland,Cycling
Clifden Cycle Hub,-10.01935,53.488951,Galway,Clifden,Republic of Ireland,Cycling
Mullingar Cycle Hub,-7.337336983,53.52532354,Westmeath,,Ireland,Cycling
Wexford Cycle Routes,-6.464254124,52.34144976,Wexford,Wexford Town,Republic of Ireland,Cycling
Ballyshannon Cycle Hub,-8.160745683,54.50113699,Donegal,Ballyshannon,Republic of Ireland,Cycling
Glen of Aherlow Looped Walks,-8.168425705,52.43046398,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Ardnamona Woods,-8.110547707,54.65340502,Donegal,,Republic of Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Inishbofin Middlequarter Loop Walk,-10.21479289,53.61976805,Galway,Inishbofin,Ireland,Walking
Inishbofin Cloonamore Loop Walk,-10.21479289,53.62017532,Galway,Inishbofin,Ireland,Walking
Bothy Loop  Newport,-9.569105185,53.97417826,Mayo,Newport,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Lough Aroher Loop,-9.587987937,53.96832201,Mayo,Newport,Republic of Ireland,Walking
Letterkeen Loop,-9.59210781,53.96236396,Mayo,Newport,Republic of Ireland,Walking
Black Head Looped Walk,-9.282518653,53.11340748,Clare,Fanore,Republic of Ireland,Walking
Bullig Bay Loop,-9.909777408,51.65584136,Cork,Castletownbere,Republic of Ireland,Walking
Garinish Loop,-9.909777408,51.65584136,Cork,Castletownbere,Republic of Ireland,Walking
Darbys Bed Loop,-8.293467694,52.40066152,Limerick,Galbally,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Windfarm Loop,-6.775543661,52.68861646,Carlow,,Republic of Ireland,Walking
Kilbrannish Loop,-6.775543661,52.68861646,Carlow,,Republic of Ireland,Walking
Tourmakeady Loop,-9.379738876,53.65686703,Mayo,Tourmakeady,Republic of Ireland,Walking
Doonbeg Loop,-9.525907553,52.73184614,Clare,,Ireland,Walking
Tullaher Loop,-9.525907553,52.73184614,Clare,Doonbeg,Republic of Ireland,Walking
Glanlough Loop,-9.631555103,51.60205945,Cork,West Cork,Republic of Ireland,Walking
Colligan Wood  Inchidrisla Loop,-7.687972703,52.12507999,Waterford,Dungarvan,Republic of Ireland,Walking
Colligan Wood  Greenane Loop,-7.687801042,52.1210223,Waterford,Dungarvan,Republic of Ireland,Walking
Broadford Ashford Walking Trails  Gleann Beag Loop,-8.98184313,52.34550163,Limerick,,Republic of Ireland,Walking
Askamore Loop,-6.479815919,52.67228921,Wexford,Gorey,Republic of Ireland,Walking
Ballybeg Loop,-6.480009038,52.67219813,Wexford,Gorey,Republic of Ireland,Walking
Slieveboy Loop,-6.483334978,52.66859383,Wexford,Gorey,Republic of Ireland,Walking
Devils Bit Loop,-7.888697,52.780599,Tipperary,Templemore,Republic of Ireland,Walking
Kilcommon Pilgrim Loop,-7.811521266,52.6779689,Tipperary,Kilcommon,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Hymany Way,-8.218770792,53.09274852,Galway,Aughrim,Republic of Ireland,Walking
The New Village  Lough Seecon Trail,-9.3401941,53.4392579,Galway,,Ireland,Walking
Lismore Area Walks,-7.932546,52.137045,Waterford,Lismore,Republic of Ireland,Walking
Drumsheen Looped Walk,-9.155181099,54.11463268,Mayo,Ballina,Republic of Ireland,Walking
Glen Looped Walk,-9.030350042,54.11011704,Mayo,Bonniconlon,Republic of Ireland,Walking
Larganmore Loop,-9.113049252,53.98198325,Mayo,Foxford,Republic of Ireland,Walking
Laob Ceathrao an Phoillan  Inis Oarr,-9.530478031,53.05922664,Galway,,Republic of Ireland,Walking
Cong Nature Trail Loop,-9.275687385,53.54363972,Mayo,Cong,Republic of Ireland,Walking
Glen of Aherlow Nature Park,-8.167645617,52.4306208,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Cadamstown Silver River EcoWalk Loop,-7.660719384,53.1269882,Offaly,Cadamstown,Ireland,Walking
Ballyvaughan  Black Head Loop,-9.2895205,53.1189982,Clare,,Ireland,Walking
Caher Valley Looped Walk,-9.291445044,53.11031627,Clare,Ennis,Ireland,Walking
Bolus Head  Barracks Looped Walk,-10.33702179,51.79850137,Kerry,Ballinskelligs,Ireland,Walking
Collinas Bog Looped Walk,-7.347736243,52.9135466,Laois,,Ireland,Walking
Ard na Gaoithe  Ardnageeha Loop Walk,-9.288004089,53.5403755,Mayo,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Clonbur Wood Loop Walk,-9.365148423,53.54603262,Galway,Clonbur,Ireland,Walking
Monivea Historical Trail Loop Walk,-8.696363081,53.37475893,Galway,Monivea,Ireland,Walking
Boolas Loop,-7.495731264,52.30649404,Waterford,Rathgormack,Ireland,Walking
North Engine Looped Walk,-10.05062532,51.64916408,Cork,Allihies,Ireland,Walking
Birr Cycle Hub,-7.910271183,53.09576424,Offaly,,Ireland,Cycling
OBriensbridge  Parteen Weir Loop,-8.501635479,52.75279784,Clare,,Ireland,Walking
Keeper Hill Trek,-8.293330034,52.72984711,Tipperary,Newport,Ireland,Walking
Knockbarron Wood Eco Walk,-7.732754198,53.11803631,Offaly,Kinnitty,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Cadamstown Silver River Nature Loop Walk,-7.660247315,53.12757403,Offaly,Cadamstown,Ireland,"Walking,Activity Operator"
Lissycasey Cascades Loop,-9.159178248,52.74425644,Clare,Lissycasey,Ireland,Walking
Glenafelly Eco Walk,-7.679980283,53.06844752,Offaly,,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Glin Heritage Trails  Knights Walk,-9.285707644,52.57021003,Limerick,,Ireland,Walking
Mervue Sla,-9.055076637,53.27159952,Galway,Galway City,Ireland,Walking
Milltown Sla,-8.898950614,53.61396738,Galway,Milltown,Ireland,Walking
Moneygall Kearney Loops,-7.956269999,52.87985104,Offaly,,Ireland,Cycling
Curragh Chase Forest Park Loop Walks,-8.874697489,52.61028302,Limerick,Kilcornan,Ireland,"Bird Watching,Nature and Wildlife,Cycling,Walking,Forest Park,Park and Forest Walk"
Curragh Chase  Glenisca Family Cycling Trail,-8.747153086,52.60408039,Limerick,Kilcornan,Ireland,Cycling
Curragh Chase  Curragh Trail,-8.747153086,52.60408039,Limerick,Kilcornan,Ireland,Cycling
Carran Turlough Loop,-9.078096918,53.03721667,Clare,Carran,Ireland,Walking
Monivea  Mass Track trail,-8.702721,53.374262,Galway,Monivea,Ireland,Walking
New Village  New Village Walk,-9.32461718,53.42787269,Galway,Oughterard,Ireland,Walking
Portumna Forest Park  Bonaveen Walking Trail,-8.255619457,53.09216258,Galway,Portumna,Ireland,Walking
Portumna Forest Park  Forest Friendly Walking Trail,-8.24849551,53.08303835,Galway,Portumna,Ireland,Walking
Portumna Forest Park  Woodland Walking Trail,-8.245405605,53.08118233,Galway,Portumna,Ireland,Walking
Belleek  Multi Access,-9.144404837,54.12668149,Mayo,Ballina,Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilmaine  Church Walk,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Kilmaine  Killernan loop,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Kilmaine   Nature walk,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Ballinastoe Mountain Bike Trail,-6.213881966,53.11039253,Wicklow,Roundwood,Ireland,Cycling
Portumna Forest Park  Bonaveen Cycling Trail,-8.2452553,53.0905196,Galway,Portumna,Ireland,Cycling
Fastnet Trails  Bechers Loop Walk,-9.263362371,51.55503149,Cork,Skibbereen,Ireland,Walking
Fastnet Trails  The Butter Road,-9.545600806,51.52639147,Cork,Schull,Ireland,Walking
Fastnet Trails  The Kilcoe Linear Walk,-9.4625167,51.5624755,Cork,Ballydehob,Ireland,Walking
Fastnet Trails  The Ballydehob Linear Walk,-9.265190274,51.54884802,Cork,Skibbereen,Ireland,Walking
Fastnet Trails  The Rossbrin Loop Walk,-9.461015291,51.56252551,Cork,Ballydehob,Ireland,Walking
Fastnet Trails  The Deereenard Loop Walk,-9.265190274,51.54884802,Cork,Skibbereen,Ireland,Walking
Fastnet Trails  The Lisheenacrehig Loop Walk,-9.265190274,51.54884802,Cork,Skibbereen,Ireland,Walking
Fastnet Trails  The Ilen River Loop Walk,-9.265190274,51.54884802,Cork,Skibbereen,Ireland,Walking
Broadford Ashford Walking Trails  Lough Ghac Way,-9.059633,52.360564,Limerick,,Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk"
Kinballycrowie Loop  Laob Cheann Bhaile Cruaiche,-8.435598779,54.98287801,Donegal,Burtonport,Ireland,"Walking,Activity Operator"
Kilbrittain Trails Castle Walk,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Estuary Walk,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Rathclaren Walk,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Kiln Walk,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Avoca Red Kite Loop,-6.212097268,52.86002392,Wicklow,,Ireland,"Walking,Forest Park,Park and Forest Walk"
East Kilkenny Cycle Loop,-7.250600247,52.65042733,Kilkenny,Kilkenny City,Ireland,Cycling
North Kilkenny Cycle Loop,-7.251311032,52.65065677,Kilkenny,,Ireland,Cycling
South Kilkenny Cycle Loop,-7.251214424,52.6505473,Kilkenny,Kilkenny City,Ireland,"Cycling,Activity Operator"
The Ecology Centre Seaweed Walks,-9.9482317,53.5536034,Galway,Letterfrack,Ireland,"Food and Drink,Restaurant,Walking"
Tory Hill  Sliabh Greine Loop,-7.17550686,52.36787812,Kilkenny,Mullinavat,Ireland,Walking
Skibbereen Cycle Hub,-9.267895789,51.54901243,Cork,Skibbereen,Republic of Ireland,Cycling
Pilgrims Road to Clonmacnoise,-7.689089553,53.32590957,Offaly,,Ireland,Cycling
The Old Railway Walk  Siaolaid an tSean Bhathar Iarainn,-8.435598779,54.98287801,Donegal,Burtonport,Ireland,"Walking,Activity Operator"
Mount Hillary Loop,-8.843333,52.123333,Cork,Banteer,Ireland,Walking
Cloonfad Scenic Walks,-8.703235,53.6734976,Roscommon,,Ireland,Walking
Kingfisher Cycle Trail,-8.178592,54.306503,Fermanagh,Enniskillen,Republic of Ireland,Cycling
Killykeen Forest Park,-7.467660347,54.00665214,Cavan,Killykeen,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Killeshandra Loop,-7.525909,54.0180891,Cavan,,Ireland,"Walking,Activity Operator"
The Old Rail Trail GreenwayAthlone to Mullingar,-7.363232548,53.51716534,Westmeath,Mullingar,Ireland,Cycling
Lough Easkey Looped Walk,-8.455827653,54.20190487,Sligo,,Ireland,Walking
Sla Eala,-8.271646394,52.92271999,Tipperary,,Ireland,Walking
Nenagh Cycle Hub,-8.201987136,52.86313641,Tipperary,Nenagh,Republic of Ireland,Cycling
Cahermurphy Looped Walk,-8.6476085,52.9886685,Clare,,Ireland,Walking
Ballycuggaran Crag Wood Walk,-8.465378712,52.83748981,Clare,Killaloe,Ireland,"Walking,Forest Park,Park and Forest Walk"
The Celtic ConneXion  Walking,-8.439050274,52.80951741,Clare,Killaloe,Ireland,"Walking,Activity Operator"
The Lough Derg Way,-8.62727,52.6630998,Limerick,,Ireland,Walking
The Miners Way and Historical Trail,-8.1125249,54.0763414,Roscommon,Arigna,Ireland,Walking
Bike Park Ireland,-8.0003204,53.01210741,Tipperary,Ballingarry,Ireland,"Cycling,Activity Operator"
Forest Park Walk Cratloe,-8.759571021,52.70620316,Clare,Cratloe,Ireland,"Walking,Forest Park,Park and Forest Walk"
Bere Island  Ardnakinna West Island Loop,-9.915456347,51.61831245,Cork,Bere Island,Ireland,Walking
Cape Clear  Cnoicinas Loop,-9.494775313,51.44320872,Cork,,Ireland,Walking
Ardgroom  Pulleen Loop,-9.898357037,51.73206722,Cork,Ardgroom,Republic of Ireland,Walking
Bere Island  Rerrin Loop,-9.881853635,51.63635139,Cork,Bere Island,Republic of Ireland,Walking
Allihies  Kealogue Mine Loop,-10.05165529,51.64895105,Cork,Allihies,Ireland,Walking
Burtonport Loops  Crickamore Loop  Laob Chroicheach Mhar,-8.435598779,54.98287801,Donegal,Burtonport,Ireland,"Walking,Activity Operator"
Clonaslee  Brittas Loop,-7.525643758,53.14970792,Laois,Clonaslee,Ireland,Walking
Kinnitty  Glinsk Castle Loop,-7.722197023,53.09582852,Offaly,Kinnitty,Republic of Ireland,"Walking,Activity Operator"
Ballyhoura  Attychraan Loop,-8.226528958,52.29456795,Limerick,Kilbeheny,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Erris Head Loop  Laob Ceann Iorrais,-9.99027762,54.2896731,Mayo,,Republic of Ireland,Walking
Carrowteige  Beach Loop,-9.822221132,54.31341285,Mayo,,Ireland,"Walking,Public Park,Nature and Wildlife"
Grange  Crag Loop,-7.506888219,52.65724147,Tipperary,Grange,Ireland,Walking
Knockalough  Red Hugh Loop,-8.018245963,52.70366927,Tipperary,Upperchurch,Ireland,"Walking,Forest Park,Park and Forest Walk"
Goatenbridge  Knockballiniry Loop,-7.872094696,52.27441435,Tipperary,Newcastle,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Goatenbridge  Liam Lynch Loop,-7.88256604,52.2637519,Tipperary,Newcastle,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Lough OFlynn  Wild Goose Bog Loop,-8.622977605,53.76689243,Roscommon,Ballinlough,Ireland,"Walking,Forest Park,Park and Forest Walk"
Tipperary Heritage Way  Golden to The Rock of Cashel Walk,-7.981006992,52.4983366,Tipperary,Golden,Ireland,Walking
Nire Valley Trails  Coumlara Looped Walk,-7.634232171,52.27695718,Waterford,Ballymacarby,Ireland,Walking
Sheepas Head Loops,-9.8262514,51.5458259,Cork,,Ireland,Walking
Mount Hillary  Knightfield Loop,-8.899255638,52.13094335,Cork,Banteer,Ireland,Walking
Mount Hillary  Father Murphys Loop,-8.899255638,52.13094335,Cork,,Ireland,Walking
Barain Loop,-9.631555103,51.60205945,Cork,West Cork,Republic of Ireland,Walking
Sheeps Head  Seefin Loop,-9.631555103,51.60205945,Cork,West Cork,Republic of Ireland,Walking
Claragh Loop,-9.065417,52.059404,Cork,Millstreet,Republic of Ireland,Walking
Sheeps Head  Cahergal Loop,-9.764003802,51.56214205,Cork,West Cork,Ireland,Walking
Laob Daon Fearbhaa Looped Walk Inis Meaiin,-9.586053369,53.08108948,Galway,Aran Islands,Republic of Ireland,Walking
Laob Ceathrao an Locha   Inis Oarr,-9.541167861,53.06125141,Galway,,Republic of Ireland,Walking
Laob Daon Chonchaor Looped Walk Inis Meaiin,-9.598846084,53.07816662,Galway,Aran Islands,Republic of Ireland,Walking
Laob Cill Cheannannach Looped Walk Inis Meaiin,-9.597472793,53.07961029,Galway,Aran Islands,Republic of Ireland,Walking
Laob an Chorraoch  Inis Mar,-9.670718463,53.1099754,Galway,,Ireland,Walking
Laob Cill Mhuirbhigh  Inis Mar,-9.673295387,53.10887169,Galway,,Ireland,Walking
Lenan Loop,-7.415241332,55.26367923,Donegal,Inishowen,Ireland,Walking
Allihies  Ballydonegan Loop,-10.05096864,51.6504422,Cork,Allihies,Ireland,Walking
Pigeon Hole Loop,-9.288647819,53.54139559,Mayo,Cong,Republic of Ireland,Walking
Laob Daon Eochla  Inis Mar,-9.683078083,53.10338001,Galway,,Ireland,Walking
Bray Head Loop  Valentia,-10.4247955,51.88424267,Kerry,,Ireland,Walking
Drum Loop,-8.73394403,54.70857261,Donegal,Glencolmcille,Ireland,Walking
Tower Loop,-8.731197448,54.70817591,Donegal,Glencolmcille,Ireland,Walking
Crolly  Lub an Clochaiin Bhig Loop,-8.229259582,55.05007133,Donegal,Gweedore,Ireland,Walking
Crolly   Lub Loch na Cailla,-8.229946227,55.05046468,Donegal,Gweedore,Ireland,Walking
Westport Cycle Hub,-9.522770941,53.79970635,Mayo,Westport,Republic of Ireland,Cycling
Limerick Greenway ,-8.9444707,52.5249995,Limerick,Rathkeale,Ireland,"Cycling,Walking"
Barnaslingan  Scalp Lookout Trail Red,-6.1707188,53.2204593,Dublin,,Ireland,Walking
Derryvunny  Old Wood Trail,-8.2673219,54.0255808,Roscommon,,Ireland,Walking
Blessington Greenway,-6.5340687,53.1696579,Wicklow,Blessington,Ireland,"Cycling,Walking"
Esknamucky Walk Glengarriff Nature Reserve,-9.5662178,51.7546958,Cork,Glengarriff,Ireland,"Walking,Activity Operator"
Benwee Loop Walk,-9.8188889,54.3366667,Mayo,,Ireland,"Walking,Activity Operator"
Carlingford Lough Greenway,-6.190181,54.0468677,Louth,Carlingford,Ireland,"Walking,Activity Operator"
Sheeps Head  Lighthouse Loop,-9.8484766,51.5430265,Cork,,Ireland,"Walking,Activity Operator"
Ballycotton Cliff Walk ,-8.0082169,51.8246914,Cork,Ballycotton,Ireland,Walking
Royal Canal Greenway  Longford,-7.7932573,53.7276296,Longford,,Ireland,"Cycling,Walking"
Royal Canal Greenway  Cloondara,-7.9046953,53.7320086,Longford,,Ireland,"Cycling,Walking"
Royal Canal Greenway  Mullingar,-7.3321726,53.5256655,Westmeath,Mullingar,Ireland,"Cycling,Walking"
Royal Canal Greenway  Enfield,-6.835759,53.4151624,Meath,Johnstown,Ireland,"Cycling,Walking"
Royal Canal Greenway  Maynooth,-6.5875144,53.378901,Kildare,Maynooth,Ireland,"Cycling,Walking"
Hazelwood Loop ,-8.426834,54.258001,Sligo,,Ireland,
Strandhill Golf Club,-8.604375,54.265578,Sligo,Strandhill,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Tubbercurry Golf Club,-8.714401,54.052979,Sligo,Tubbercurry,Republic of Ireland,"Golf Course,Golf,Activity Operator"
The Heath Golf Club Portlaoise,-7.2164432,53.0627393,Laois,Portlaoise,Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
Greenore Golf Club,-6.1361271,54.031362,Louth,Greenore,Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
Courtown Golf Club,-6.2302244,52.6598716,Wexford,Courtown,Ireland,"Golf Course,Golf,Activity Operator"
Blainroe Golf Club,-6.017685,52.945031,Wicklow,Blainroe,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Rathsallagh Golf  Country Club,-6.7276452,53.028256,Wicklow,Dunlavin,Ireland,"Golf Course,Golf,Activity Operator"
Wicklow Golf Club,-6.0260521,52.9750456,Wicklow,,Ireland,"Golf Course,Golf,Activity Operator"
Clonmel Golf Club,-7.6468622,52.335179,Tipperary,Clonmel,Ireland,"Golf Course,Golf,Activity Operator"
Dunmore East Golf Club,-6.9888068,52.1586134,Waterford,Dunmore East,Ireland,"Golf Course,Golf,Activity Operator"
Faithlegg House Hotel  Golf Club,-7.025256,52.2581,Waterford,Faithlegg,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Tramore Golf Club,-7.1709557,52.1558878,Waterford,Tramore,Ireland,"Golf Course,Golf,Activity Operator"
Waterford Golf Club,-7.120968,52.268867,Waterford,Waterford City,Republic of Ireland,"Golf Course,Golf,Activity Operator"
West Waterford Golf  Club,-7.6972092,52.0814204,Waterford,Dungarvan,Ireland,"Golf Course,Golf,Activity Operator"
Beaufort Golf Club,-9.674517,52.067319,Kerry,Churchtown,Ireland,"Golf Course,Golf,Activity Operator"
Dooks Golf Links,-9.926052,52.082737,Kerry,Glenbeigh,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Kenmare Golf Club,-9.579827,51.8787597,Kerry,Kenmare,Ireland,"Golf Course,Golf"
