Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Ballyhass Wake Park,-8.7995368,52.1691453,Cork,Mallow,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Adventure Park,Activity Operator"
Lackan Strand,-9.2555922,54.2740457,Mayo,Ballina,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Sea View Garden,-8.2189111,54.6309781,Donegal,Mountcharles,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Rebelle Surf ,-8.6050849,54.270308,Sligo,Strandhill,Republic of Ireland,"Surfing,Activity Operator"
Lower Cranny,-8.274682,54.6469658,Donegal,Inver,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Greenfort,-7.65388635,55.13440451,Donegal,Kerrykeel,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Carrablagh House,-7.6107462,55.2189689,Donegal,Portsalon,Republic of Ireland,"Gardens,Garden"
Swell Surf School,-8.17872,51.795239,Cork,Whitegate,Republic of Ireland,"Surfing,Activity Operator"
Boat Trips Ireland,-7.2504062,52.6517115,Kilkenny,Kilkenny City,Republic of Ireland,"Sailing,Activity Operator,Boat,Tour"
Skerries South Beach,-6.1048127,53.5801464,Dublin,Skerries,Republic of Ireland,Beach
Ballinamore Golf Club,-7.8335866,54.0556016,Leitrim,Ballinamore,Republic of Ireland,"Golf Course,Golf"
Coolcarrigan House,-6.851319069,53.31908404,Kildare,Naas,Republic of Ireland,"Castle,Historic Houses and Castle"
Nolans Castle,-9.0855499,54.2161262,Sligo,Enniscrone,Republic of Ireland,"Ruins,Historic Houses and Castle"
Glenstal Abbey,-8.3883081,52.6616783,Limerick,Murroe,Republic of Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Gardens,Garden"
Glenside Pitch  Putt,-8.4010515,52.6556015,Limerick,Murroe,Republic of Ireland,"Golf,Activity Operator,Pitch And Putt,General,Pitch and Putt"
Kilfinane Outdoor Education Centre,-8.4717831,52.3604812,Limerick,Kilfinane,Republic of Ireland,"Climbing,Activity Operator,Cycling,Kayaking,Walking,Adventure Park"
