id,Station,Divisions,x,y,Year,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime",Lat,Long
2027,Clontarf, D.M.R. Northern,318536,236267,2004,72,58,0,53,307,822,20,54,14,539,177,35,53.36355,-6.22015
2028,Cabra, D.M.R. Western,312709,236285,2004,34,48,0,24,147,489,9,40,11,375,130,27,53.36498,-6.30763
2029,Howth, D.M.R. Northern,328526,239171,2004,29,29,0,17,210,336,8,20,6,206,140,13,53.38729,-6.06899
2030,Finglas, D.M.R. Western,312702,239028,2004,114,68,2,90,295,824,17,27,66,551,341,72,53.38962,-6.30676
2031,Blanchardstown, D.M.R. Western,307764,238947,2004,150,238,1,103,430,2049,48,62,64,967,502,69,53.38992,-6.38097
2032,Store Street, D.M.R. North Central,316435,234757,2004,208,126,1,98,283,4575,116,189,87,593,3243,128,53.35045,-6.25225
2033,Fitzgibbon Street, D.M.R. North Central,316208,235563,2004,163,71,0,81,261,976,34,110,52,520,417,53,53.35774,-6.25536
2034,Mountjoy, D.M.R. North Central,315438,235850,2004,127,70,0,76,317,1005,21,60,25,616,387,52,53.36049,-6.26681
2035,Bridewell Dublin, D.M.R. North Central,314987,234346,2004,149,109,4,55,214,1111,33,108,17,622,545,1384,53.34708,-6.27413
2036,Kevin Street, D.M.R. South Central,315268,233451,2004,110,90,0,112,403,979,31,242,46,418,518,65,53.33898,-6.27024
2039,Cabinteely, D.M.R. Eastern,323458,224950,2004,35,38,0,18,175,391,3,46,6,191,149,25,53.26079,-6.15065
2040,Bray, Wicklow,326982,218126,2004,69,47,1,26,312,531,21,81,9,290,315,29,53.19868,-6.10059
2041,Enniskerry, Wicklow,322397,217190,2004,6,9,0,0,31,67,2,3,0,53,4,2,53.19135,-6.16952
2042,Shankill, D.M.R. Eastern,325516,221968,2004,77,39,0,19,181,334,6,44,4,313,143,22,53.23353,-6.12101
2043,Greystones, Wicklow,329636,212550,2004,34,24,0,5,168,259,8,9,5,220,221,15,53.14797,-6.06316
2044,Blackrock Co Dublin, D.M.R. Southern,321556,229240,2004,51,47,1,49,320,639,36,96,8,186,259,16,53.29976,-6.1775
2045,Dundrum, D.M.R. Eastern,317246,227995,2004,60,39,0,49,423,836,15,105,1,419,178,31,53.28954,-6.24257
2047,Drogheda, Louth,308547,275168,2004,137,160,0,14,281,618,30,87,12,374,445,47,53.71506,-6.35665
2048,Castlebellingham, Louth,305884,295618,2004,9,5,1,2,24,45,3,1,0,26,11,0,53.89926,-6.38994
2049,Clogherhead, Louth,315864,283734,2004,4,2,0,0,11,39,0,1,0,24,1,0,53.79041,-6.24267
2050,Dunleer, Louth,305758,287738,2004,6,8,0,0,21,34,2,2,2,21,9,2,53.82852,-6.39457
2051,Laytown, Meath,316055,272468,2004,23,42,0,5,47,116,2,19,2,69,49,1,53.6892,-6.244
2052,Dundalk, Louth,304337,306745,2004,146,156,0,27,348,774,67,26,19,577,531,75,53.9995,-6.40966
2053,Carlingford, Louth,318804,311739,2004,9,6,0,1,29,43,0,0,1,21,26,0,54.04123,-6.18722
2054,Hackballscross, Louth,296755,310159,2004,3,2,0,0,13,18,0,0,0,12,5,1,54.03164,-6.52416
2055,Drumad, Louth,307291.36,317522.13,2004,9,14,0,1,19,63,5,1,1,31,36,1,54.09568,-6.36083
2056,Omeath, Louth,314154,316668,2004,2,4,0,0,10,28,3,0,1,16,2,0,54.08654,-6.25631
2057,Louth, Louth,296036,301321,2004,4,6,0,0,14,15,0,0,1,8,4,0,53.9524,-6.53791
2058,Kells Ceanannus Mor, Meath,273892,275980.01,2004,35,38,0,6,42,106,15,21,0,60,61,6,53.72841,-6.88121
2060,Baile Atha Bui, Meath,271783,264284,2004,8,13,0,0,27,33,1,2,2,6,30,1,53.62364,-6.91586
2061,Ballivor, Meath,268536,254113,2004,8,8,0,0,17,29,1,6,1,19,9,1,53.5327,-6.96716
2062,Oldcastle, Meath,255311,280274,2004,9,3,0,1,20,31,2,2,1,16,14,1,53.76928,-7.16193
2063,Nobber, Meath,282592,286429,2004,5,5,0,0,11,15,0,0,0,4,2,0,53.82096,-6.74664
2064,Trim, Meath,280291,256571,2004,39,54,0,2,107,135,42,18,5,102,95,21,53.55312,-6.78929
2065,Dunboyne, Meath,301292,242275,2004,10,19,0,9,48,116,5,10,1,31,18,2,53.42109,-6.47714
2067,Dunshaughlin, Meath,296955,252168,2004,15,18,0,2,38,76,3,6,0,15,17,12,53.51076,-6.53931
2068,Longwood, Meath,271333,245457,2004,0,3,0,0,2,3,0,1,0,3,3,0,53.45457,-6.92695
2069,Kilcock, Kildare,288341,240096,2004,2,6,0,1,50,78,5,2,1,25,19,6,53.40384,-6.6725
2070,Summerhill, Meath,284134,248716,2004,4,16,0,0,22,25,7,1,0,16,5,0,53.48196,-6.73343
2071,Enfield, Meath,277589,241162.01,2004,15,32,0,2,30,74,12,1,2,15,30,2,53.41511,-6.83386
2072,Balbriggan, D.M.R. Northern,319756,264224,2004,51,59,1,6,95,147,7,14,7,72,98,17,53.61433,-6.19118
2073,Skerries, D.M.R. Northern,325432,260503,2004,15,24,0,8,32,80,1,3,2,50,24,5,53.57959,-6.10695
2074,Lusk, D.M.R. Northern,321594,254148,2004,20,46,0,10,55,95,2,2,0,39,41,5,53.52343,-6.16734
2076,Garristown, D.M.R. Northern,307122,258655,2004,3,3,0,0,23,30,0,0,2,0,3,2,53.56705,-6.3839
2077,Ashbourne, Meath,306394,252439,2004,23,76,0,5,87,203,7,38,2,72,80,5,53.51137,-6.397
2078,Navan, Meath,286636,267972,2004,71,108,0,19,177,489,20,17,16,258,132,63,53.65452,-6.69042
2079,Ardee, Louth,296047,290467,2004,8,25,0,2,48,42,1,4,0,25,11,3,53.85491,-6.54114
2080,Collon, Louth,299931,281968,2004,2,4,0,1,9,12,2,1,0,3,2,1,53.77785,-6.4849
2081,Duleek, Meath,304644,268266,2004,9,10,0,0,32,53,0,0,1,43,5,1,53.65387,-6.41806
2082,Slane, Meath,295959,274295,2004,5,5,0,0,27,58,2,31,0,8,8,1,53.70968,-6.54751
2083,Mullingar, Westmeath,243426,253036,2004,77,110,2,4,142,444,39,21,5,233,464,22,53.5257,-7.34595
2084,Killucan, Westmeath,257122,251959,2004,8,4,0,0,12,17,2,1,1,14,13,2,53.51471,-7.13966
2085,Kinnegad, Westmeath,259649,245446,2004,15,19,0,0,38,88,7,4,0,20,35,1,53.45592,-7.10281
2086,Rochfortbridge, Westmeath,246475,240552,2004,6,8,0,0,17,29,0,0,0,11,39,1,53.41328,-7.30183
2088,Delvin, Westmeath,260269,263101.01,2004,7,5,0,1,14,16,0,0,0,15,10,0,53.61446,-7.09008
2089,Athlone, Westmeath,203723,241436,2004,97,68,1,22,201,428,34,50,14,337,307,23,53.42325,-7.94474
2091,Ballymore, Westmeath,221174,249031,2004,1,1,0,0,2,8,0,0,0,4,4,0,53.49108,-7.68173
2093,Kilbeggan, Westmeath,233387,235463,2004,3,5,0,2,19,46,0,0,0,9,7,0,53.36855,-7.49918
2094,Moate, Westmeath,217710,238405,2004,13,9,0,0,18,39,0,2,1,12,20,0,53.39574,-7.73452
2095,Ballymahon, Roscommon/Longford,215897,256827,2004,9,3,0,0,21,34,2,1,0,11,7,1,53.56131,-7.76084
2096,Longford, Roscommon/Longford,213158,275874,2004,107,66,0,3,106,315,10,59,9,147,264,23,53.73251,-7.80137
2097,Drumlish, Roscommon/Longford,215464,285808,2004,3,2,0,0,3,12,0,0,0,6,8,2,53.8217,-7.76593
2098,Kenagh, Roscommon/Longford,212284,263566,2004,3,5,0,0,10,12,0,0,0,10,1,0,53.62195,-7.8151
20101,Lanesboro, Roscommon/Longford,201022,269010,2004,2,8,1,0,12,29,1,1,1,4,12,0,53.67101,-7.98528
20103,Granard, Roscommon/Longford,233393,281099,2004,24,12,0,2,34,46,1,1,0,49,85,11,53.77855,-7.49421
20105,Edgeworthstown, Roscommon/Longford,226076,271817,2004,29,9,0,2,22,34,1,0,3,10,20,4,53.69558,-7.60598
20106,Smear, Roscommon/Longford,226257,290182,2004,1,1,0,0,6,9,0,0,0,3,7,0,53.86056,-7.60168
20107,Ballynacargy, Westmeath,230848,259684,2004,7,6,0,1,23,12,0,0,0,17,42,0,53.58631,-7.53494
20108,Castlepollard, Westmeath,246529,270072,2004,10,7,0,1,21,43,4,3,0,13,44,2,53.67848,-7.29663
20109,Multyfarnham, Westmeath,240257,263975,2004,1,5,0,0,8,22,1,1,0,4,18,0,53.62423,-7.39232
20111,Portlaoise, Laois/Offaly,246806,198079,2004,78,96,0,3,91,398,28,114,5,157,233,23,53.03165,-7.30308
20112,Mountmellick, Laois/Offaly,244565,207755,2004,14,9,0,1,25,39,5,2,0,22,13,1,53.11878,-7.33514
20113,Mountrath, Laois/Offaly,235093,194251,2004,10,8,0,1,18,31,6,4,2,16,8,2,52.99815,-7.47807
20114,Portarlington, Laois/Offaly,254379,212351,2004,23,22,0,0,77,82,17,2,1,29,42,4,53.15916,-7.1878
20115,Stradbally Co Laois, Laois/Offaly,256987,196633,2004,2,13,0,0,8,16,1,109,1,4,10,0,53.01767,-7.1516
20116,Clonaslee, Laois/Offaly,231761,210974,2004,0,5,0,0,7,5,0,0,0,4,3,1,53.14862,-7.52604
20117,Abbeyleix, Laois/Offaly,244196,184819,2004,9,24,1,0,26,46,0,1,0,20,16,1,52.91273,-7.34378
20119,Durrow, Laois/Offaly,240741,177168,2004,8,6,0,2,20,33,0,0,0,5,22,1,52.84426,-7.39609
20120,Rathdowney, Laois/Offaly,227140,178459,2004,9,7,0,1,21,15,2,0,0,14,13,0,52.85672,-7.59783
20121,Ballylinan, Laois/Offaly,264370,188409.01,2004,11,5,0,0,30,25,0,1,0,13,22,2,52.94295,-7.04323
20122,Arles, Laois/Offaly,266084,182647,2004,3,5,0,2,14,15,0,3,0,11,5,0,52.89098,-7.01891
20124,Borris-In-Ossory, Laois/Offaly,225006,187638,2004,2,4,0,0,9,13,4,2,0,4,10,0,52.9393,-7.62881
20125,Birr, Laois/Offaly,205977,205022,2004,33,20,0,1,46,97,10,29,3,32,85,14,53.09605,-7.91151
20126,Banagher, Laois/Offaly,200990,215534,2004,6,8,0,0,14,16,0,2,0,11,25,0,53.19053,-7.98593
20127,Cloghan, Laois/Offaly,208230,219360,2004,8,10,0,0,7,18,0,2,1,14,13,3,53.22485,-7.87751
20128,Ferbane, Laois/Offaly,211550,224476,2004,11,14,0,0,15,20,2,2,1,16,21,3,53.27076,-7.82762
20129,Kilcormac, Laois/Offaly,218181,213971,2004,5,2,0,0,16,13,1,5,0,14,10,0,53.17618,-7.72883
20130,Kinnitty, Laois/Offaly,218662,205318,2004,3,0,0,0,8,8,0,0,0,4,4,0,53.09842,-7.72214
20131,Shinrone, Laois/Offaly,204473,192626,2004,3,3,0,0,5,12,1,1,0,5,48,2,52.98468,-7.93414
20133,Lorrha, Tipperary,191871,204759,2004,4,2,0,0,4,5,0,0,2,5,36,0,53.09366,-8.12207
20134,Tullamore, Laois/Offaly,233744,225171,2004,135,80,0,8,131,327,39,75,40,131,286,36,53.27605,-7.49491
20135,Clara, Laois/Offaly,225751,232841,2004,14,6,0,0,29,31,1,1,2,27,22,1,53.34542,-7.6141
20136,Clonbologue, Laois/Offaly,261062,223560,2004,2,0,0,0,10,10,0,0,0,3,4,0,53.25914,-7.08576
20137,Daingean, Laois/Offaly,247157,227166,2004,12,8,0,0,19,26,1,2,1,8,32,3,53.29296,-7.29356
20138,Edenderry, Laois/Offaly,262613,232228,2004,26,33,0,1,37,82,5,9,3,54,88,4,53.33683,-7.06081
20139,Rhode, Laois/Offaly,253668,233706,2004,15,2,1,0,14,13,2,0,1,9,8,0,53.35109,-7.19483
20141,Naas, Kildare,289174,218612,2004,84,186,0,11,221,583,50,374,10,313,451,53,53.21072,-6.66601
20142,Celbridge, Kildare,297174,233606,2004,38,24,0,6,116,181,8,24,6,113,74,13,53.344,-6.54173
20143,Clane, Kildare,287676,227817,2004,23,44,0,3,71,132,7,9,8,57,37,4,53.29366,-6.68589
20145,Maynooth, Kildare,293699,237635,2004,23,29,0,6,154,263,7,2,0,131,108,3,53.38081,-6.59269
20146,Kildare, Kildare,273149,212253,2004,35,37,0,2,57,128,17,12,2,76,173,13,53.15604,-6.90726
20147,Robertstown, Kildare,279018,225057,2004,15,8,0,0,26,31,2,8,0,11,10,9,53.27022,-6.81638
20148,Kilcullen, Kildare,283951,209436,2004,14,20,0,4,74,70,6,12,1,22,16,1,53.12914,-6.74657
20149,Monasterevin, Kildare,263312,210127,2004,11,10,0,2,29,38,4,3,1,18,20,0,53.1382,-7.05471
20150,Newbridge, Kildare,280576,215199,2004,100,94,0,12,85,283,11,66,4,98,293,22,53.18143,-6.79553
20151,Rathangan, Kildare,267007,219519,2004,8,3,0,1,33,36,0,0,0,19,15,1,53.22212,-6.99754
20153,Carbury, Kildare,270878,232525,2004,10,1,0,0,23,19,0,1,1,19,7,3,53.33846,-6.9367
20154,Carlow, Kilkenny/Carlow,272198,177119,2004,142,161,0,16,237,486,30,125,19,196,598,32,52.84053,-6.92932
20156,Tullow, Kilkenny/Carlow,285472,173250,2004,14,6,0,2,73,70,2,4,0,36,21,8,52.80383,-6.73339
20157,Ballon, Kilkenny/Carlow,282972,166461,2004,0,2,0,0,20,15,3,0,1,12,2,0,52.74323,-6.77217
20158,Myshall, Kilkenny/Carlow,282654,160255.01,2004,1,2,0,0,2,5,0,0,0,0,1,0,52.68752,-6.77844
20159,Muine Bheag, Kilkenny/Carlow,270533,161598,2004,20,17,0,0,54,55,2,0,3,19,16,2,52.7013,-6.95736
20160,Athy, Kildare,267993,193718,2004,63,44,0,4,102,178,10,13,6,104,201,16,52.9902,-6.98824
20161,Castledermot, Kildare,277476,184847,2004,2,13,0,2,38,43,0,2,0,9,7,0,52.90922,-6.84917
20162,Baltinglass, Wicklow,286795,188319.01,2004,16,17,0,0,78,86,11,5,2,54,86,4,52.93899,-6.70977
20163,Blessington, Wicklow,298103,214283,2004,14,34,0,3,52,123,3,2,1,87,53,2,53.17027,-6.53373
20164,Dunlavin, Wicklow,287139,201660,2004,5,5,0,0,29,46,4,0,0,20,13,1,53.05878,-6.70106
20167,Shillelagh, Wicklow,298794,168019,2004,4,5,0,0,20,12,0,0,1,8,4,0,52.75457,-6.5375
20168,Tinahely, Wicklow,303300,172806,2004,3,4,0,0,20,11,1,3,0,8,5,2,52.79672,-6.46928
20169,Hacketstown, Kilkenny/Carlow,297234,180208,2004,3,1,0,1,14,16,0,1,2,10,8,0,52.86434,-6.55698
20170,Rathvilly, Kilkenny/Carlow,287882,181820,2004,5,3,0,0,7,11,1,2,0,6,0,0,52.88043,-6.69536
20172,Wexford, Wexford,304886,121500,2004,77,159,2,6,203,433,50,98,13,282,320,32,52.33554,-6.46199
20173,Taghmon, Wexford,291982,119738,2004,7,10,0,1,19,24,0,0,0,11,8,4,52.32202,-6.65172
20175,Castlebridge, Wexford,305412,126984,2004,4,8,0,0,15,5,2,5,1,4,5,0,52.38471,-6.45256
20176,Kilmore Quay, Wexford,296930,103875,2004,6,13,1,0,15,23,0,1,1,5,5,2,52.17866,-6.58373
20177,Glynn, Wexford,296565,125474,2004,2,8,0,0,13,7,0,1,0,3,1,1,52.37277,-6.58288
20178,Rosslare Strand, Wexford,310308,114283,2004,12,9,0,0,19,16,2,2,1,15,5,3,52.26965,-6.38484
20179,Rosslare Harbour, Wexford,313825,112036,2004,11,5,0,0,11,37,5,6,1,22,14,5,52.24875,-6.3341
20180,Gorey, Wexford,315223,159527,2004,36,58,1,4,86,140,11,17,4,75,100,21,52.67504,-6.29726
20181,Bunclody, Wexford,290559,156971,2004,10,10,1,0,59,49,0,4,1,14,12,1,52.65676,-6.66247
20182,Courtown Harbour, Wexford,319821,156210,2004,20,9,0,1,32,53,1,5,4,26,36,0,52.64425,-6.23052
20183,Arklow, Wicklow,324524,173255,2004,57,45,1,9,111,215,11,71,6,117,180,24,52.79628,-6.15462
20184,Carnew, Wicklow,301985,163180,2004,0,3,0,1,11,18,0,1,1,8,3,1,52.71051,-6.49176
20185,Enniscorthy, Wexford,297114,139729,2004,40,54,0,7,105,155,10,31,2,83,176,18,52.50073,-6.57068
20186,Blackwater, Wexford,312320,133894,2004,5,7,0,1,7,17,0,0,1,8,4,1,52.4454,-6.34883
20187,Ferns, Wexford,301857,149873,2004,6,8,0,0,31,16,5,0,1,5,9,2,52.59099,-6.49776
20189,Oylegate, Wexford,300077,131256,2004,2,14,0,0,5,4,0,1,0,3,9,1,52.42408,-6.52961
20190,Oulart, Wexford,309287,140275,2004,3,9,0,0,8,9,1,0,0,1,6,0,52.50334,-6.39132
20191,Clonroche, Wexford,287355,133940,2004,9,3,0,0,28,25,4,1,0,5,1,1,52.45037,-6.71586
20192,New Ross, Wexford,271484,126693,2004,32,36,0,1,69,136,10,28,6,58,122,23,52.38756,-6.9508
20193,Ballycullane, Wexford,279276,114714,2004,0,6,0,0,3,7,0,0,2,6,6,1,52.27887,-6.8392
20194,Carrick-on-Bannow, Wexford,286534,110303,2004,6,13,0,0,12,27,1,5,3,11,11,0,52.23814,-6.73402
20195,Duncannon, Wexford,273189,108224,2004,10,7,0,0,20,29,4,1,1,11,11,1,52.2214,-6.92978
20197,Carrickbyrne, Wexford,284542,124096,2004,8,4,0,0,21,21,0,1,0,13,3,0,52.36237,-6.75971
20198,Campile, Wexford,272408,115601,2004,3,7,0,0,11,17,0,2,0,7,2,0,52.28778,-6.93962
20199,Wicklow, Wicklow,331516,194057,2004,68,80,0,3,111,207,10,35,13,104,167,21,52.98144,-6.04263
20200,Ashford, Wicklow,327080,197557.01,2004,12,23,0,0,38,71,2,5,3,40,25,2,53.01394,-6.10726
20201,Rathdrum, Wicklow,319306,188123,2004,9,9,0,5,52,68,0,7,1,45,13,1,52.931,-6.2265
20202,Newtownmountkennedy, Wicklow,326690,206784,2004,10,12,0,0,44,41,4,1,2,16,11,1,53.09689,-6.10944
20203,Avoca, Wicklow,320421,180111,2004,3,5,0,0,10,16,0,0,0,7,5,1,52.85879,-6.21289
20204,Roundwood, Wicklow,319065,202820,2004,4,4,0,1,17,87,0,1,1,9,1,0,53.06305,-6.22467
20205,Aughrim, Wicklow,312754,179619,2004,2,4,0,0,16,20,0,0,0,3,3,1,52.85603,-6.32684
20206,Waterford, Waterford,260568.78,112370.58,2004,241,229,1,30,348,1252,116,447,66,428,1475,201,52.26019,-7.11368
20207,Dunmore East, Waterford,268990,100038.01,2004,3,8,0,0,11,8,0,16,0,9,6,1,52.14838,-6.99287
20208,Ferrybank, Waterford,261416,113191,2004,8,18,0,0,35,37,2,9,2,9,26,4,52.26746,-7.10112
20209,Passage East, Waterford,270220,110160,2004,1,6,0,0,6,7,0,2,0,6,2,0,52.23918,-6.97281
20210,Mooncoin, Kilkenny/Carlow,251115.81,115801.27,2004,2,3,0,0,3,15,1,1,0,4,1,2,52.29197,-7.25158
20211,Glenmore, Kilkenny/Carlow,266278,122867,2004,2,1,0,0,11,5,0,3,0,1,1,0,52.35384,-7.02801
20212,Kilmacow, Kilkenny/Carlow,256323,118372,2004,11,7,0,0,6,5,1,3,1,3,3,0,52.31456,-7.17485
20213,Dungarvan, Waterford,225790,92872,2004,40,80,1,1,121,253,19,38,5,131,236,8,52.08769,-7.62448
20214,Cappoquin, Waterford,210611,99293,2004,3,4,0,0,21,12,0,0,0,8,3,0,52.14589,-7.84573
20215,Tallow, Waterford,199549,93475,2004,5,5,0,0,6,7,0,1,0,7,3,0,52.0937,-8.00731
20216,Ballymacarberry, Waterford,219322,112821,2004,4,2,0,0,16,7,1,0,0,3,0,0,52.26722,-7.71771
20217,Aglish, Waterford,212252,91029,2004,4,1,0,0,7,7,0,0,0,1,2,0,52.07159,-7.82205
20218,An Rinn, Waterford,227969,88510,2004,1,4,0,0,4,8,1,0,1,6,3,1,52.04838,-7.59305
20219,Lismore, Waterford,204465,98258,2004,9,3,0,0,15,22,0,1,0,10,9,2,52.13667,-7.93552
20220,Tramore, Waterford,257984,101354,2004,32,60,0,5,40,141,4,138,6,83,183,6,52.16147,-7.15341
20221,Kill Co Waterford, Waterford,245534,102988,2004,5,5,0,0,11,11,0,4,0,9,14,1,52.17732,-7.33511
20222,Kilmacthomas, Waterford,239610,106150,2004,4,8,0,0,21,16,0,6,3,9,33,1,52.20619,-7.42133
20223,Kilmeaden, Waterford,251615,110718,2004,2,14,0,0,17,11,0,2,1,13,3,0,52.24625,-7.24505
20224,Portlaw, Waterford,246617,115121,2004,7,3,0,0,14,8,0,6,1,14,2,0,52.28626,-7.31761
20225,Rathgormack, Waterford,233897,117376,2004,3,1,0,0,6,5,0,2,0,4,1,0,52.30745,-7.50377
20226,Leamybrien, Waterford,232780,101998,2004,6,4,0,0,13,23,2,2,1,9,2,0,52.16933,-7.52163
20228,Kilkenny, Kilkenny/Carlow,250149,155908,2004,140,165,1,2,148,492,55,247,10,213,688,53,52.65244,-7.25973
20229,Freshford, Kilkenny/Carlow,240959,164725,2004,1,3,0,0,3,4,0,1,0,0,11,0,52.73244,-7.39441
20230,Callan, Kilkenny/Carlow,241366,143576,2004,15,10,0,1,15,32,0,2,0,19,23,0,52.54237,-7.39104
20231,Castlecomer, Kilkenny/Carlow,253366,172283,2004,23,17,0,0,32,37,2,10,1,16,41,4,52.79927,-7.20954
20232,Goresbridge, Kilkenny/Carlow,268138,153632,2004,1,10,0,0,14,14,0,1,0,5,0,0,52.63003,-6.99443
20234,Thomastown, Kilkenny/Carlow,258413,142256,2004,3,12,0,0,13,24,34,6,1,11,7,1,52.52895,-7.14004
20235,Bennettsbridge, Kilkenny/Carlow,255404,149049,2004,1,8,0,0,7,9,3,0,0,3,3,1,52.5903,-7.18324
20236,Graiguenamanagh, Kilkenny/Carlow,270829,143924,2004,5,4,0,0,16,14,1,0,2,9,13,2,52.54247,-6.95677
20237,Stoneyford, Kilkenny/Carlow,252395,143015,2004,0,8,0,0,6,17,28,0,0,0,3,0,52.53638,-7.22858
20238,Ballyhale, Kilkenny/Carlow,254315,135462,2004,2,8,0,0,6,9,0,0,0,3,4,0,52.46833,-7.20152
20240,Kilmoganny, Kilkenny/Carlow,245640,134549,2004,0,0,0,0,2,2,0,1,0,1,1,0,52.46092,-7.32928
20241,Mullinavat, Kilkenny/Carlow,256441,124140,2004,1,4,0,0,6,15,4,3,0,1,6,1,52.36638,-7.17215
20242,Borris, Kilkenny/Carlow,272594,150554,2004,0,8,0,0,20,10,0,1,0,6,4,0,52.6018,-6.92931
20243,Thurles, Tipperary,212773,158257,2004,62,50,0,1,80,189,21,60,11,98,393,11,52.67572,-7.8119
20244,Ballingarry South, Tipperary,231163,148351,2004,7,2,0,0,7,12,0,0,0,11,8,1,52.58596,-7.54096
20245,Holycross, Tipperary,208653,154560,2004,1,4,0,1,4,3,0,0,0,2,11,2,52.64258,-7.8729
20246,Killenaule, Tipperary,222234,146362,2004,4,11,0,0,21,28,2,4,1,8,14,1,52.56852,-7.67283
20249,Urlingford, Kilkenny/Carlow,228440,163480,2004,10,8,0,0,40,29,6,4,0,15,8,0,52.72205,-7.57983
20250,Littleton, Tipperary,217994,154377,2004,4,2,0,0,5,8,0,0,1,7,5,0,52.6407,-7.73492
20251,Clonmel, Tipperary,220495,122492,2004,90,104,0,4,67,248,6,128,25,228,318,38,52.35409,-7.69994
20252,Kilsheelan, Tipperary,228676,123360,2004,4,3,0,0,3,2,0,1,0,1,8,0,52.36152,-7.5798
20253,Mullinahone, Tipperary,233619,139931,2004,0,5,0,0,5,7,0,3,0,0,12,0,52.51015,-7.50558
20255,Fethard, Tipperary,220818,134991,2004,3,4,0,1,24,18,4,0,1,13,7,0,52.4664,-7.69442
20256,Carrick-On-Suir, Tipperary,240263,121953,2004,24,31,0,2,24,47,6,9,1,18,72,0,52.34815,-7.4099
20257,Piltown, Kilkenny/Carlow,246014,122189,2004,1,4,0,1,1,10,1,2,1,2,0,0,52.34982,-7.32548
20258,Cahir, Tipperary,205478,124887,2004,21,20,0,0,31,62,12,8,3,41,89,6,52.37597,-7.92029
20259,Ardfinnan, Tipperary,208349,117754,2004,1,9,0,0,8,5,0,2,0,5,4,1,52.31183,-7.87831
20260,Ballyporeen, Tipperary,193377,113119,2004,4,0,0,0,3,7,0,0,0,2,15,2,52.2702,-8.09775
20262,Cashel, Tipperary,207497,140510,2004,24,25,0,2,32,91,1,16,7,44,51,2,52.51634,-7.8903
20263,Clogheen, Tipperary,200368,113860,2004,2,6,0,0,5,9,0,1,0,2,6,0,52.2769,-7.99534
20264,Nenagh, Tipperary,186608,179243,2004,37,72,0,0,60,131,11,77,8,63,199,6,52.86428,-8.19958
20265,Borrisokane, Tipperary,191521,194016,2004,3,7,0,0,9,14,1,2,1,3,18,0,52.99712,-8.12702
20266,Ballingarry North, Tipperary,198005,196372,2004,0,0,0,0,2,1,0,0,0,0,3,0,53.01835,-8.03046
20267,Cloughjordan, Tipperary,197379,187871,2004,0,0,0,0,8,7,0,0,0,1,19,0,52.94196,-8.03972
20268,Dolla, Tipperary,187091,171770,2004,1,1,0,0,0,5,0,0,0,1,25,0,52.79714,-8.19211
20269,Portroe, Tipperary,176239,181245,2004,0,0,0,0,4,4,0,0,0,2,26,0,52.88191,-8.35368
20270,Toomevara, Tipperary,197590,177601,2004,0,2,0,0,12,12,0,0,0,3,24,0,52.84968,-8.0365
20272,Templemore, Tipperary,211174,171709,2004,35,15,0,0,31,47,3,6,3,45,114,6,52.79663,-7.83508
20273,Templetuohy, Tipperary,218933,171028,2004,3,3,0,0,3,5,0,1,1,1,16,0,52.79029,-7.7201
20274,Roscrea, Tipperary,213573,189469,2004,36,18,0,1,32,110,4,13,7,37,73,2,52.95616,-7.79878
20275,Moyne, Tipperary,219362,164795,2004,1,0,0,0,9,4,1,1,3,0,3,0,52.73427,-7.7141
20276,Templederry, Tipperary,194987,169197,2004,0,2,0,0,0,0,0,0,0,0,3,0,52.77415,-8.07501
20277,Borrisoleigh, Tipperary,203063,166674,2004,2,3,0,0,7,8,1,0,2,12,20,0,52.75149,-7.95537
20278,Shevry, Tipperary,196862,159490,2004,0,1,0,0,6,4,0,0,0,0,2,0,52.68694,-8.04714
20279,Moneygall, Tipperary,203184,181119,2004,0,5,0,0,4,4,0,1,0,6,10,0,52.88129,-7.95344
20280,Tipperary, Tipperary,188981,136034,2004,49,27,0,0,39,104,15,8,4,88,118,5,52.47605,-8.16289
20282,Emly, Tipperary,175977,134865,2004,3,1,0,0,3,4,1,0,0,6,10,0,52.46513,-8.35419
20283,Golden, Tipperary,201089,138327,2004,3,4,0,0,2,4,0,0,0,2,2,0,52.49677,-7.9847
20284,Cappawhite, Tipperary,188876,147953,2004,8,7,0,0,15,21,0,2,2,20,17,0,52.58316,-8.16484
20285,Bansha, Tipperary,195590,133041,2004,3,3,0,0,5,7,0,0,0,1,6,0,52.44925,-8.06559
20286,Oola, Limerick,182426,142055,2004,0,1,0,0,4,3,0,0,0,1,1,0,52.52999,-8.25968
20288,Anglesea Street, Cork City,168040,71558,2004,212,126,0,32,166,1408,87,89,36,390,1285,191,51.89582,-8.46499
20290,Bridewell Cork, Cork City,167215,72081,2004,93,45,0,22,51,531,12,74,10,142,555,17,51.90047,-8.47703
20291,Blackrock Co Cork, Cork North,172205,71367,2004,37,38,0,3,63,182,3,20,14,166,186,18,51.89433,-8.40448
20292,Togher, Cork City,166559,69410,2004,37,70,0,13,81,242,12,84,7,213,149,18,51.87643,-8.4863
