id,Station,Divisions,x,y,Year,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime",Lat,Long
2054,Hackballscross, Louth,296755,310159,2003,0,5,0,0,12,15,0,0,1,7,1,0,54.03164,-6.52416
2055,Drumad, Louth,307291.36,317522.13,2003,0,15,0,2,24,76,1,2,2,45,24,4,54.09568,-6.36083
2056,Omeath, Louth,314154,316668,2003,0,1,0,0,9,26,0,0,0,13,8,0,54.08654,-6.25631
2057,Louth, Louth,296036,301321,2003,0,3,0,0,9,12,1,1,0,11,3,3,53.9524,-6.53791
2058,Kells Ceanannus Mor, Meath,273892,275980.01,2003,0,37,0,0,37,99,11,23,2,49,55,9,53.72841,-6.88121
2060,Baile Atha Bui, Meath,271783,264284,2003,0,18,0,0,15,32,1,4,0,9,21,4,53.62364,-6.91586
2061,Ballivor, Meath,268536,254113,2003,0,10,0,0,14,19,1,2,2,20,2,1,53.5327,-6.96716
2062,Oldcastle, Meath,255311,280274,2003,0,13,0,2,13,43,0,1,4,24,11,3,53.76928,-7.16193
2063,Nobber, Meath,282592,286429,2003,0,5,0,0,22,12,0,2,0,6,3,0,53.82096,-6.74664
2064,Trim, Meath,280291,256571,2003,0,30,0,6,92,98,12,16,1,92,62,24,53.55312,-6.78929
2065,Dunboyne, Meath,301292,242275,2003,0,30,0,15,68,116,3,3,1,16,18,5,53.42109,-6.47714
2067,Dunshaughlin, Meath,296955,252168,2003,0,21,0,5,51,73,4,2,0,27,22,9,53.51076,-6.53931
2068,Longwood, Meath,271333,245457,2003,0,0,0,1,4,1,0,1,0,3,0,0,53.45457,-6.92695
2069,Kilcock, Kildare,288341,240096,2003,0,7,0,6,41,53,4,4,0,10,6,6,53.40384,-6.6725
2070,Summerhill, Meath,284134,248716,2003,0,3,0,2,33,25,1,1,0,10,5,1,53.48196,-6.73343
2071,Enfield, Meath,277589,241162.01,2003,0,23,0,3,53,47,0,4,1,10,24,1,53.41511,-6.83386
2072,Balbriggan, D.M.R. Northern,319756,264224,2003,0,53,2,2,60,132,5,10,11,82,135,8,53.61433,-6.19118
2073,Skerries, D.M.R. Northern,325432,260503,2003,0,19,0,2,46,75,1,7,1,60,40,3,53.57959,-6.10695
2074,Lusk, D.M.R. Northern,321594,254148,2003,0,28,0,5,69,110,0,8,0,41,33,7,53.52343,-6.16734
2076,Garristown, D.M.R. Northern,307122,258655,2003,0,4,0,0,19,18,0,0,0,3,1,1,53.56705,-6.3839
2077,Ashbourne, Meath,306394,252439,2003,0,42,0,9,90,205,3,11,2,56,69,10,53.51137,-6.397
2078,Navan, Meath,286636,267972,2003,0,92,0,10,213,352,5,29,8,158,124,33,53.65452,-6.69042
2079,Ardee, Louth,296047,290467,2003,0,22,0,1,32,48,3,9,4,21,11,2,53.85491,-6.54114
2080,Collon, Louth,299931,281968,2003,0,6,0,0,26,9,1,0,0,2,5,0,53.77785,-6.4849
2081,Duleek, Meath,304644,268266,2003,0,5,0,0,32,37,1,0,2,18,4,1,53.65387,-6.41806
2082,Slane, Meath,295959,274295,2003,0,7,0,1,25,27,0,28,1,11,12,2,53.70968,-6.54751
2083,Mullingar, Westmeath,243426,253036,2003,0,87,0,8,172,437,33,23,10,235,435,31,53.5257,-7.34595
2084,Killucan, Westmeath,257122,251959,2003,0,3,0,0,12,15,1,0,1,5,8,2,53.51471,-7.13966
2085,Kinnegad, Westmeath,259649,245446,2003,0,11,0,1,44,58,2,1,0,12,35,0,53.45592,-7.10281
2086,Rochfortbridge, Westmeath,246475,240552,2003,0,8,0,2,26,26,8,2,0,12,37,1,53.41328,-7.30183
2088,Delvin, Westmeath,260269,263101.01,2003,0,10,0,0,13,19,0,1,0,15,19,0,53.61446,-7.09008
2089,Athlone, Westmeath,203723,241436,2003,0,48,0,14,210,585,12,61,4,298,276,50,53.42325,-7.94474
2091,Ballymore, Westmeath,221174,249031,2003,0,2,0,0,6,5,0,0,0,1,0,0,53.49108,-7.68173
2093,Kilbeggan, Westmeath,233387,235463,2003,0,3,0,3,28,35,1,1,0,4,2,0,53.36855,-7.49918
2094,Moate, Westmeath,217710,238405,2003,0,6,0,2,31,29,2,4,2,11,12,1,53.39574,-7.73452
2095,Ballymahon, Roscommon/Longford,215897,256827,2003,0,6,0,0,20,11,0,2,0,3,21,1,53.56131,-7.76084
2096,Longford, Roscommon/Longford,213158,275874,2003,0,50,0,9,109,278,21,59,6,169,300,18,53.73251,-7.80137
2097,Drumlish, Roscommon/Longford,215464,285808,2003,0,3,0,0,8,6,1,0,0,3,6,1,53.8217,-7.76593
2098,Kenagh, Roscommon/Longford,212284,263566,2003,0,1,0,0,9,5,0,0,0,3,4,1,53.62195,-7.8151
20101,Lanesboro, Roscommon/Longford,201022,269010,2003,0,4,0,0,13,28,0,1,1,12,11,0,53.67101,-7.98528
20103,Granard, Roscommon/Longford,233393,281099,2003,0,15,0,0,26,54,3,2,0,28,51,6,53.77855,-7.49421
20105,Edgeworthstown, Roscommon/Longford,226076,271817,2003,0,19,0,2,31,48,0,1,3,18,39,2,53.69558,-7.60598
20106,Smear, Roscommon/Longford,226257,290182,2003,0,7,0,0,5,8,0,0,0,2,4,1,53.86056,-7.60168
20107,Ballynacargy, Westmeath,230848,259684,2003,0,7,0,0,11,7,2,0,0,5,29,1,53.58631,-7.53494
20108,Castlepollard, Westmeath,246529,270072,2003,0,6,1,1,28,22,1,2,6,18,32,1,53.67848,-7.29663
20109,Multyfarnham, Westmeath,240257,263975,2003,0,2,0,1,10,12,0,1,0,4,6,0,53.62423,-7.39232
20111,Portlaoise, Laois/Offaly,246806,198079,2003,0,99,0,5,99,487,19,102,0,149,178,16,53.03165,-7.30308
20112,Mountmellick, Laois/Offaly,244565,207755,2003,0,12,0,0,20,41,2,4,1,15,20,1,53.11878,-7.33514
20113,Mountrath, Laois/Offaly,235093,194251,2003,0,14,0,1,24,45,0,0,0,14,10,0,52.99815,-7.47807
20114,Portarlington, Laois/Offaly,254379,212351,2003,0,32,0,0,47,67,4,10,0,50,37,7,53.15916,-7.1878
20115,Stradbally Co Laois, Laois/Offaly,256987,196633,2003,0,6,0,1,12,20,0,3,0,11,6,0,53.01767,-7.1516
20116,Clonaslee, Laois/Offaly,231761,210974,2003,0,4,0,0,6,5,0,0,0,7,1,1,53.14862,-7.52604
20117,Abbeyleix, Laois/Offaly,244196,184819,2003,0,23,0,0,29,41,1,11,2,18,17,2,52.91273,-7.34378
20119,Durrow, Laois/Offaly,240741,177168,2003,0,6,0,2,11,18,2,5,0,6,21,0,52.84426,-7.39609
20120,Rathdowney, Laois/Offaly,227140,178459,2003,0,9,0,1,17,22,0,1,1,17,9,1,52.85672,-7.59783
20121,Ballylinan, Laois/Offaly,264370,188409.01,2003,0,3,0,0,34,13,0,0,0,4,16,1,52.94295,-7.04323
20122,Arles, Laois/Offaly,266084,182647,2003,0,3,0,0,25,19,0,0,0,3,2,0,52.89098,-7.01891
20124,Borris-In-Ossory, Laois/Offaly,225006,187638,2003,0,9,0,0,19,13,0,6,0,6,5,0,52.9393,-7.62881
20125,Birr, Laois/Offaly,205977,205022,2003,0,16,1,0,36,109,7,22,4,37,80,5,53.09605,-7.91151
20126,Banagher, Laois/Offaly,200990,215534,2003,0,9,0,0,9,16,0,0,0,15,20,0,53.19053,-7.98593
20127,Cloghan, Laois/Offaly,208230,219360,2003,0,10,0,0,10,12,0,1,0,11,24,1,53.22485,-7.87751
20128,Ferbane, Laois/Offaly,211550,224476,2003,0,15,0,0,22,34,2,1,1,9,17,0,53.27076,-7.82762
20129,Kilcormac, Laois/Offaly,218181,213971,2003,0,3,0,0,12,22,0,2,0,21,11,4,53.17618,-7.72883
20130,Kinnitty, Laois/Offaly,218662,205318,2003,0,1,0,1,8,5,0,0,0,1,2,0,53.09842,-7.72214
20131,Shinrone, Laois/Offaly,204473,192626,2003,0,2,0,0,5,11,0,0,0,4,4,0,52.98468,-7.93414
20133,Lorrha, Tipperary,191871,204759,2003,0,2,0,0,9,11,0,0,0,5,33,0,53.09366,-8.12207
20134,Tullamore, Laois/Offaly,233744,225171,2003,0,61,0,5,84,342,31,74,8,151,334,45,53.27605,-7.49491
20135,Clara, Laois/Offaly,225751,232841,2003,0,5,0,1,28,57,0,2,1,30,98,1,53.34542,-7.6141
20136,Clonbologue, Laois/Offaly,261062,223560,2003,0,3,0,0,11,8,1,1,0,6,3,1,53.25914,-7.08576
20137,Daingean, Laois/Offaly,247157,227166,2003,0,4,0,0,14,18,1,1,0,13,63,1,53.29296,-7.29356
20138,Edenderry, Laois/Offaly,262613,232228,2003,0,25,0,3,47,70,6,11,6,56,145,7,53.33683,-7.06081
20139,Rhode, Laois/Offaly,253668,233706,2003,0,3,0,0,8,20,2,1,1,6,9,0,53.35109,-7.19483
20141,Naas, Kildare,289174,218612,2003,0,142,0,13,251,624,56,319,15,269,465,66,53.21072,-6.66601
20142,Celbridge, Kildare,297174,233606,2003,0,27,0,1,102,223,9,15,3,115,111,17,53.344,-6.54173
20143,Clane, Kildare,287676,227817,2003,0,26,0,3,88,85,32,16,0,54,26,3,53.29366,-6.68589
20145,Maynooth, Kildare,293699,237635,2003,0,23,0,10,119,274,17,12,1,74,50,3,53.38081,-6.59269
20146,Kildare, Kildare,273149,212253,2003,0,32,1,2,66,128,19,19,2,78,217,14,53.15604,-6.90726
20147,Robertstown, Kildare,279018,225057,2003,0,17,0,0,20,33,1,6,0,24,6,5,53.27022,-6.81638
20148,Kilcullen, Kildare,283951,209436,2003,0,19,0,2,90,73,1,5,1,25,7,4,53.12914,-6.74657
20149,Monasterevin, Kildare,263312,210127,2003,0,13,0,1,29,60,1,7,0,23,8,1,53.1382,-7.05471
20150,Newbridge, Kildare,280576,215199,2003,0,86,1,12,117,251,16,89,9,106,349,13,53.18143,-6.79553
20151,Rathangan, Kildare,267007,219519,2003,0,1,0,0,18,30,0,4,1,23,3,0,53.22212,-6.99754
20153,Carbury, Kildare,270878,232525,2003,0,1,0,0,12,23,0,3,1,12,6,2,53.33846,-6.9367
20154,Carlow, Kilkenny/Carlow,272198,177119,2003,0,125,3,16,244,453,38,125,9,220,490,36,52.84053,-6.92932
20156,Tullow, Kilkenny/Carlow,285472,173250,2003,0,11,0,2,40,65,4,10,2,23,21,7,52.80383,-6.73339
20157,Ballon, Kilkenny/Carlow,282972,166461,2003,0,4,0,0,12,14,0,0,0,2,0,0,52.74323,-6.77217
20158,Myshall, Kilkenny/Carlow,282654,160255.01,2003,0,2,0,0,5,0,0,0,1,1,0,0,52.68752,-6.77844
20159,Muine Bheag, Kilkenny/Carlow,270533,161598,2003,0,9,0,0,54,34,4,4,1,7,13,2,52.7013,-6.95736
20160,Athy, Kildare,267993,193718,2003,0,48,0,14,141,201,10,33,4,133,143,10,52.9902,-6.98824
20161,Castledermot, Kildare,277476,184847,2003,0,16,0,0,37,37,0,1,0,14,3,0,52.90922,-6.84917
20162,Baltinglass, Wicklow,286795,188319.01,2003,0,15,0,0,38,77,4,5,2,34,35,0,52.93899,-6.70977
20163,Blessington, Wicklow,298103,214283,2003,0,17,0,0,55,94,0,2,0,50,31,0,53.17027,-6.53373
20164,Dunlavin, Wicklow,287139,201660,2003,0,5,0,0,19,28,0,3,1,12,10,3,53.05878,-6.70106
20167,Shillelagh, Wicklow,298794,168019,2003,0,3,0,0,13,19,0,0,2,8,1,0,52.75457,-6.5375
20168,Tinahely, Wicklow,303300,172806,2003,0,3,0,0,16,12,0,0,0,12,4,3,52.79672,-6.46928
20169,Hacketstown, Kilkenny/Carlow,297234,180208,2003,0,2,0,0,12,9,1,0,0,10,9,1,52.86434,-6.55698
20170,Rathvilly, Kilkenny/Carlow,287882,181820,2003,0,2,0,1,8,15,0,0,0,5,2,0,52.88043,-6.69536
20172,Wexford, Wexford,304886,121500,2003,0,125,0,8,237,493,37,107,10,254,427,55,52.33554,-6.46199
20173,Taghmon, Wexford,291982,119738,2003,0,11,0,0,17,13,1,2,0,8,10,0,52.32202,-6.65172
20175,Castlebridge, Wexford,305412,126984,2003,0,4,0,0,8,11,1,1,0,2,8,0,52.38471,-6.45256
20176,Kilmore Quay, Wexford,296930,103875,2003,0,4,0,0,11,11,2,0,1,14,1,0,52.17866,-6.58373
20177,Glynn, Wexford,296565,125474,2003,0,5,0,0,6,6,1,1,2,3,1,1,52.37277,-6.58288
20178,Rosslare Strand, Wexford,310308,114283,2003,0,11,0,0,18,33,8,4,0,8,22,1,52.26965,-6.38484
20179,Rosslare Harbour, Wexford,313825,112036,2003,0,10,0,0,16,38,4,2,1,26,23,1,52.24875,-6.3341
20180,Gorey, Wexford,315223,159527,2003,0,50,1,0,83,147,9,19,2,42,39,18,52.67504,-6.29726
20181,Bunclody, Wexford,290559,156971,2003,0,10,0,3,43,37,2,0,2,23,10,3,52.65676,-6.66247
20182,Courtown Harbour, Wexford,319821,156210,2003,0,11,0,3,20,34,0,11,0,21,23,1,52.64425,-6.23052
20183,Arklow, Wicklow,324524,173255,2003,0,60,2,2,118,216,10,37,3,123,178,28,52.79628,-6.15462
20184,Carnew, Wicklow,301985,163180,2003,0,0,0,1,27,27,1,0,0,7,2,1,52.71051,-6.49176
20185,Enniscorthy, Wexford,297114,139729,2003,0,42,0,7,80,177,32,16,2,94,105,32,52.50073,-6.57068
20186,Blackwater, Wexford,312320,133894,2003,0,7,1,0,11,9,4,0,0,8,16,1,52.4454,-6.34883
20187,Ferns, Wexford,301857,149873,2003,0,5,0,0,31,17,0,0,0,5,5,0,52.59099,-6.49776
20189,Oylegate, Wexford,300077,131256,2003,0,3,0,0,19,5,1,2,0,0,3,1,52.42408,-6.52961
20190,Oulart, Wexford,309287,140275,2003,0,6,0,0,10,14,2,0,1,1,2,1,52.50334,-6.39132
20191,Clonroche, Wexford,287355,133940,2003,0,2,0,0,22,31,2,2,0,8,3,1,52.45037,-6.71586
20192,New Ross, Wexford,271484,126693,2003,0,51,0,3,78,118,16,21,4,65,140,28,52.38756,-6.9508
20193,Ballycullane, Wexford,279276,114714,2003,0,0,0,0,1,14,0,1,1,2,0,0,52.27887,-6.8392
20194,Carrick-on-Bannow, Wexford,286534,110303,2003,0,5,0,1,7,19,2,5,1,0,5,0,52.23814,-6.73402
20195,Duncannon, Wexford,273189,108224,2003,0,1,0,0,12,21,0,2,0,14,8,9,52.2214,-6.92978
20197,Carrickbyrne, Wexford,284542,124096,2003,0,3,0,1,20,11,1,1,3,7,4,1,52.36237,-6.75971
20198,Campile, Wexford,272408,115601,2003,0,3,0,0,4,15,3,2,0,1,5,0,52.28778,-6.93962
20199,Wicklow, Wicklow,331516,194057,2003,0,50,0,3,83,250,11,51,7,133,137,39,52.98144,-6.04263
20200,Ashford, Wicklow,327080,197557.01,2003,0,40,0,1,48,93,7,11,1,37,21,1,53.01394,-6.10726
20201,Rathdrum, Wicklow,319306,188123,2003,0,8,0,0,41,86,0,4,1,27,25,5,52.931,-6.2265
20202,Newtownmountkennedy, Wicklow,326690,206784,2003,0,11,0,0,47,55,1,1,2,37,15,2,53.09689,-6.10944
20203,Avoca, Wicklow,320421,180111,2003,0,3,0,0,11,16,8,2,1,12,5,1,52.85879,-6.21289
20204,Roundwood, Wicklow,319065,202820,2003,0,9,0,0,20,39,2,4,1,7,5,1,53.06305,-6.22467
20205,Aughrim, Wicklow,312754,179619,2003,0,1,0,0,14,21,0,2,0,3,2,1,52.85603,-6.32684
20206,Waterford, Waterford,260568.78,112370.58,2003,0,235,2,33,427,1324,136,474,54,432,1619,261,52.26019,-7.11368
20207,Dunmore East, Waterford,268990,100038.01,2003,0,9,0,0,18,17,0,2,0,7,7,1,52.14838,-6.99287
20208,Ferrybank, Waterford,261416,113191,2003,0,19,0,0,17,34,2,17,0,10,20,4,52.26746,-7.10112
20209,Passage East, Waterford,270220,110160,2003,0,4,0,0,7,5,0,1,1,2,2,1,52.23918,-6.97281
20210,Mooncoin, Kilkenny/Carlow,251115.81,115801.27,2003,0,3,0,0,6,11,4,4,0,1,3,1,52.29197,-7.25158
20211,Glenmore, Kilkenny/Carlow,266278,122867,2003,0,1,0,0,3,3,0,0,0,0,1,0,52.35384,-7.02801
20212,Kilmacow, Kilkenny/Carlow,256323,118372,2003,0,2,0,1,13,3,0,5,0,2,6,0,52.31456,-7.17485
20213,Dungarvan, Waterford,225790,92872,2003,0,98,0,4,119,234,19,53,9,166,228,7,52.08769,-7.62448
20214,Cappoquin, Waterford,210611,99293,2003,0,8,0,0,29,18,1,5,4,4,4,4,52.14589,-7.84573
20215,Tallow, Waterford,199549,93475,2003,0,7,1,0,8,10,1,2,1,3,5,0,52.0937,-8.00731
20216,Ballymacarberry, Waterford,219322,112821,2003,0,5,0,0,8,2,0,0,0,5,0,1,52.26722,-7.71771
20217,Aglish, Waterford,212252,91029,2003,0,5,0,0,6,5,1,2,0,2,6,0,52.07159,-7.82205
20218,An Rinn, Waterford,227969,88510,2003,0,5,0,0,7,5,1,1,0,8,2,3,52.04838,-7.59305
20219,Lismore, Waterford,204465,98258,2003,0,4,0,1,32,26,5,0,0,10,10,0,52.13667,-7.93552
20220,Tramore, Waterford,257984,101354,2003,0,55,0,2,77,155,20,93,2,118,281,14,52.16147,-7.15341
20221,Kill Co Waterford, Waterford,245534,102988,2003,0,3,0,0,12,14,1,1,0,7,21,1,52.17732,-7.33511
20222,Kilmacthomas, Waterford,239610,106150,2003,0,2,0,0,23,8,0,3,0,13,17,2,52.20619,-7.42133
20223,Kilmeaden, Waterford,251615,110718,2003,0,7,0,0,25,12,0,4,0,1,1,0,52.24625,-7.24505
20224,Portlaw, Waterford,246617,115121,2003,0,1,1,1,8,9,1,1,0,7,7,0,52.28626,-7.31761
20225,Rathgormack, Waterford,233897,117376,2003,0,4,0,0,7,1,0,0,0,1,0,0,52.30745,-7.50377
20226,Leamybrien, Waterford,232780,101998,2003,0,2,0,0,16,15,0,1,0,3,1,0,52.16933,-7.52163
20228,Kilkenny, Kilkenny/Carlow,250149,155908,2003,0,138,0,18,196,519,65,229,36,134,736,33,52.65244,-7.25973
20229,Freshford, Kilkenny/Carlow,240959,164725,2003,0,7,0,0,7,4,0,2,3,0,12,0,52.73244,-7.39441
20230,Callan, Kilkenny/Carlow,241366,143576,2003,0,15,0,0,9,15,13,1,0,11,28,0,52.54237,-7.39104
20231,Castlecomer, Kilkenny/Carlow,253366,172283,2003,0,33,0,1,30,24,6,19,1,20,52,4,52.79927,-7.20954
20232,Goresbridge, Kilkenny/Carlow,268138,153632,2003,0,13,0,1,14,8,0,0,0,4,14,1,52.63003,-6.99443
20234,Thomastown, Kilkenny/Carlow,258413,142256,2003,0,6,0,1,11,21,14,1,0,9,18,3,52.52895,-7.14004
20235,Bennettsbridge, Kilkenny/Carlow,255404,149049,2003,0,8,0,0,9,7,2,2,3,6,5,4,52.5903,-7.18324
20236,Graiguenamanagh, Kilkenny/Carlow,270829,143924,2003,0,10,0,0,9,30,1,4,2,7,5,1,52.54247,-6.95677
20237,Stoneyford, Kilkenny/Carlow,252395,143015,2003,0,4,0,0,9,5,3,1,0,0,1,1,52.53638,-7.22858
20238,Ballyhale, Kilkenny/Carlow,254315,135462,2003,0,7,0,0,12,13,0,0,1,4,1,0,52.46833,-7.20152
20240,Kilmoganny, Kilkenny/Carlow,245640,134549,2003,0,4,0,0,8,2,0,0,0,5,1,2,52.46092,-7.32928
20241,Mullinavat, Kilkenny/Carlow,256441,124140,2003,0,1,0,0,12,11,1,1,0,4,2,0,52.36638,-7.17215
20242,Borris, Kilkenny/Carlow,272594,150554,2003,0,10,0,2,15,13,0,5,0,7,1,0,52.6018,-6.92931
20243,Thurles, Tipperary,212773,158257,2003,0,55,0,1,77,206,46,81,3,90,283,13,52.67572,-7.8119
20244,Ballingarry South, Tipperary,231163,148351,2003,0,4,0,0,8,8,0,4,0,7,4,0,52.58596,-7.54096
20245,Holycross, Tipperary,208653,154560,2003,0,6,0,0,6,6,0,0,0,1,2,0,52.64258,-7.8729
20246,Killenaule, Tipperary,222234,146362,2003,0,11,0,0,13,22,3,4,0,9,36,2,52.56852,-7.67283
20249,Urlingford, Kilkenny/Carlow,228440,163480,2003,0,11,0,1,28,21,2,7,3,5,25,0,52.72205,-7.57983
20250,Littleton, Tipperary,217994,154377,2003,0,4,0,0,17,14,3,3,0,5,2,1,52.6407,-7.73492
20251,Clonmel, Tipperary,220495,122492,2003,0,77,2,3,84,211,17,116,22,185,197,28,52.35409,-7.69994
20252,Kilsheelan, Tipperary,228676,123360,2003,0,0,0,0,3,5,0,1,0,0,0,0,52.36152,-7.5798
20253,Mullinahone, Tipperary,233619,139931,2003,0,3,0,0,6,4,0,4,0,0,4,0,52.51015,-7.50558
20255,Fethard, Tipperary,220818,134991,2003,0,8,0,0,20,22,1,3,1,13,3,0,52.4664,-7.69442
20256,Carrick-On-Suir, Tipperary,240263,121953,2003,0,24,0,1,23,49,13,11,2,10,57,1,52.34815,-7.4099
20257,Piltown, Kilkenny/Carlow,246014,122189,2003,0,4,0,0,5,5,1,1,0,1,1,0,52.34982,-7.32548
20258,Cahir, Tipperary,205478,124887,2003,0,21,0,1,26,70,1,29,0,42,53,8,52.37597,-7.92029
20259,Ardfinnan, Tipperary,208349,117754,2003,0,4,0,1,9,7,2,2,0,6,1,0,52.31183,-7.87831
