STATISTIC,Statistic Label,TLIST(A1),Academic Year,C02352V02829,Level of Education,UNIT,VALUE
EDA37,Enrolments of Full-Time Students,1978,1977-1978,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1979,1978-1979,-,All levels of education,Number,870089
EDA37,Enrolments of Full-Time Students,1979,1978-1979,104,First level,Number,545218
EDA37,Enrolments of Full-Time Students,1979,1978-1979,23,Second level,Number,289196
EDA37,Enrolments of Full-Time Students,1979,1978-1979,4,Third level,Number,35675
EDA37,Enrolments of Full-Time Students,1979,1978-1979,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1980,1979-1980,-,All levels of education,Number,877136
EDA37,Enrolments of Full-Time Students,1980,1979-1980,104,First level,Number,547431
EDA37,Enrolments of Full-Time Students,1980,1979-1980,23,Second level,Number,292280
EDA37,Enrolments of Full-Time Students,1980,1979-1980,4,Third level,Number,37425
EDA37,Enrolments of Full-Time Students,1980,1979-1980,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1981,1980-1981,-,All levels of education,Number,889679
EDA37,Enrolments of Full-Time Students,1981,1980-1981,104,First level,Number,551319
EDA37,Enrolments of Full-Time Students,1981,1980-1981,23,Second level,Number,297747
EDA37,Enrolments of Full-Time Students,1981,1980-1981,4,Third level,Number,40613
EDA37,Enrolments of Full-Time Students,1981,1980-1981,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1982,1981-1982,-,All levels of education,Number,906304
EDA37,Enrolments of Full-Time Students,1982,1981-1982,104,First level,Number,556034
EDA37,Enrolments of Full-Time Students,1982,1981-1982,23,Second level,Number,307039
EDA37,Enrolments of Full-Time Students,1982,1981-1982,4,Third level,Number,43231
EDA37,Enrolments of Full-Time Students,1982,1981-1982,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1983,1982-1983,-,All levels of education,Number,921451
EDA37,Enrolments of Full-Time Students,1983,1982-1983,104,First level,Number,560723
EDA37,Enrolments of Full-Time Students,1983,1982-1983,23,Second level,Number,314393
EDA37,Enrolments of Full-Time Students,1983,1982-1983,4,Third level,Number,46335
EDA37,Enrolments of Full-Time Students,1983,1982-1983,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1984,1983-1984,-,All levels of education,Number,933732
EDA37,Enrolments of Full-Time Students,1984,1983-1984,104,First level,Number,563509
EDA37,Enrolments of Full-Time Students,1984,1983-1984,23,Second level,Number,321812
EDA37,Enrolments of Full-Time Students,1984,1983-1984,4,Third level,Number,48411
EDA37,Enrolments of Full-Time Students,1984,1983-1984,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1985,1984-1985,-,All levels of education,Number,947124
EDA37,Enrolments of Full-Time Students,1985,1984-1985,104,First level,Number,566289
EDA37,Enrolments of Full-Time Students,1985,1984-1985,23,Second level,Number,329999
EDA37,Enrolments of Full-Time Students,1985,1984-1985,4,Third level,Number,50836
EDA37,Enrolments of Full-Time Students,1985,1984-1985,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1986,1985-1986,-,All levels of education,Number,956280
EDA37,Enrolments of Full-Time Students,1986,1985-1986,104,First level,Number,567064
EDA37,Enrolments of Full-Time Students,1986,1985-1986,23,Second level,Number,335743
EDA37,Enrolments of Full-Time Students,1986,1985-1986,4,Third level,Number,53473
EDA37,Enrolments of Full-Time Students,1986,1985-1986,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1987,1986-1987,-,All levels of education,Number,961737
EDA37,Enrolments of Full-Time Students,1987,1986-1987,104,First level,Number,567567
EDA37,Enrolments of Full-Time Students,1987,1986-1987,23,Second level,Number,339154
EDA37,Enrolments of Full-Time Students,1987,1986-1987,4,Third level,Number,55016
EDA37,Enrolments of Full-Time Students,1987,1986-1987,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1988,1987-1988,-,All levels of education,Number,962898
EDA37,Enrolments of Full-Time Students,1988,1987-1988,104,First level,Number,565487
EDA37,Enrolments of Full-Time Students,1988,1987-1988,23,Second level,Number,340190
EDA37,Enrolments of Full-Time Students,1988,1987-1988,4,Third level,Number,57221
EDA37,Enrolments of Full-Time Students,1988,1987-1988,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1989,1988-1989,-,All levels of education,Number,960190
EDA37,Enrolments of Full-Time Students,1989,1988-1989,104,First level,Number,560116
EDA37,Enrolments of Full-Time Students,1989,1988-1989,23,Second level,Number,339327
EDA37,Enrolments of Full-Time Students,1989,1988-1989,4,Third level,Number,60747
EDA37,Enrolments of Full-Time Students,1989,1988-1989,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1990,1989-1990,-,All levels of education,Number,955968
EDA37,Enrolments of Full-Time Students,1990,1989-1990,104,First level,Number,552182
EDA37,Enrolments of Full-Time Students,1990,1989-1990,23,Second level,Number,339649
EDA37,Enrolments of Full-Time Students,1990,1989-1990,4,Third level,Number,64137
EDA37,Enrolments of Full-Time Students,1990,1989-1990,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1991,1990-1991,-,All levels of education,Number,954954
EDA37,Enrolments of Full-Time Students,1991,1990-1991,104,First level,Number,543744
EDA37,Enrolments of Full-Time Students,1991,1990-1991,23,Second level,Number,343045
EDA37,Enrolments of Full-Time Students,1991,1990-1991,4,Third level,Number,68165
EDA37,Enrolments of Full-Time Students,1991,1990-1991,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1992,1991-1992,-,All levels of education,Number,958264
EDA37,Enrolments of Full-Time Students,1992,1991-1992,104,First level,Number,534269
EDA37,Enrolments of Full-Time Students,1992,1991-1992,23,Second level,Number,334334
EDA37,Enrolments of Full-Time Students,1992,1991-1992,4,Third level,Number,74449
EDA37,Enrolments of Full-Time Students,1992,1991-1992,X45,Post leaving certificate courses (VPT2),Number,15212
EDA37,Enrolments of Full-Time Students,1993,1992-1993,-,All levels of education,Number,961567
EDA37,Enrolments of Full-Time Students,1993,1992-1993,104,First level,Number,521531
EDA37,Enrolments of Full-Time Students,1993,1992-1993,23,Second level,Number,342472
EDA37,Enrolments of Full-Time Students,1993,1992-1993,4,Third level,Number,81050
EDA37,Enrolments of Full-Time Students,1993,1992-1993,X45,Post leaving certificate courses (VPT2),Number,16514
EDA37,Enrolments of Full-Time Students,1994,1993-1994,-,All levels of education,Number,960705
EDA37,Enrolments of Full-Time Students,1994,1993-1994,104,First level,Number,505883
EDA37,Enrolments of Full-Time Students,1994,1993-1994,23,Second level,Number,350520
EDA37,Enrolments of Full-Time Students,1994,1993-1994,4,Third level,Number,86624
EDA37,Enrolments of Full-Time Students,1994,1993-1994,X45,Post leaving certificate courses (VPT2),Number,17678
EDA37,Enrolments of Full-Time Students,1995,1994-1995,-,All levels of education,Number,952906
EDA37,Enrolments of Full-Time Students,1995,1994-1995,104,First level,Number,491256
EDA37,Enrolments of Full-Time Students,1995,1994-1995,23,Second level,Number,354313
EDA37,Enrolments of Full-Time Students,1995,1994-1995,4,Third level,Number,89693
EDA37,Enrolments of Full-Time Students,1995,1994-1995,X45,Post leaving certificate courses (VPT2),Number,17644
EDA37,Enrolments of Full-Time Students,1996,1995-1996,-,All levels of education,Number,944686
